Date,Wordle Number,Answer,Weekday,Month,Day,Year,Ends with Y,Has repeated letters,Starts with vowel,Ends with vowel,Num vowels,Num consonants,Has rare letter,Contains common suffix,All unique letters,P1,P2,P3,P4,P5,Contains common prefix,Word Frequency,Scrabble score,Frequency category,Top row letters,Mid row letters,Bottom row letters,Is palindrome
Oct 05 2025,1569,PLANE,Sunday,October,05,2025,0,0,0,1,2,3,0,0,1,P,L,A,N,E,0,5.25e-05,7,uncommon,2,2,1,0
Oct 04 2025,1568,RELAY,Saturday,October,04,2025,1,0,0,0,2,3,0,0,1,R,E,L,A,Y,1,7.24e-06,8,uncommon,3,2,0,0
Oct 03 2025,1567,SPASM,Friday,October,03,2025,0,1,0,0,1,4,0,0,0,S,P,A,S,M,0,6.76e-07,9,rare,1,3,1,0
Oct 02 2025,1566,WIDTH,Thursday,October,02,2025,0,0,0,0,1,4,0,1,1,W,I,D,T,H,0,1.05e-05,12,uncommon,3,2,0,0
Oct 01 2025,1565,SPOIL,Wednesday,October,01,2025,0,0,0,0,2,3,0,0,1,S,P,O,I,L,0,6.46e-06,7,uncommon,3,2,0,0
Sep 30 2025,1564,GEESE,Tuesday,September,30,2025,0,1,0,1,3,2,0,0,0,G,E,E,S,E,0,2.24e-06,6,uncommon,3,2,0,0
Sep 29 2025,1563,CIVIL,Monday,September,29,2025,0,1,0,0,2,3,0,0,0,C,I,V,I,L,0,8.51e-05,10,uncommon,2,1,2,0
Sep 28 2025,1562,GOOEY,Sunday,September,28,2025,1,1,0,0,3,2,0,0,0,G,O,O,E,Y,0,7.24e-07,9,rare,4,1,0,0
Sep 27 2025,1561,FRITZ,Saturday,September,27,2025,0,0,0,0,1,4,1,0,1,F,R,I,T,Z,0,2.63e-06,17,uncommon,3,1,1,0
Sep 26 2025,1560,DALLY,Friday,September,26,2025,1,1,0,0,1,4,0,1,0,D,A,L,L,Y,0,6.03e-07,9,rare,1,4,0,0
Sep 25 2025,1559,DRAPE,Thursday,September,25,2025,0,0,0,1,2,3,0,0,1,D,R,A,P,E,0,5.5e-07,8,rare,3,2,0,0
Sep 24 2025,1558,BLUNT,Wednesday,September,24,2025,0,0,0,0,1,4,0,1,1,B,L,U,N,T,0,7.94e-06,7,uncommon,2,1,2,0
Sep 23 2025,1557,MOUTH,Tuesday,September,23,2025,0,0,0,0,2,3,0,1,1,M,O,U,T,H,0,6.76e-05,10,uncommon,3,1,1,0
Sep 22 2025,1556,QUILL,Monday,September,22,2025,0,1,0,0,2,3,1,0,0,Q,U,I,L,L,0,1.29e-06,14,uncommon,3,2,0,0
Sep 21 2025,1555,COVEN,Sunday,September,21,2025,0,0,0,0,2,3,0,0,1,C,O,V,E,N,0,1e-06,10,rare,2,0,3,0
Sep 20 2025,1554,DEFER,Saturday,September,20,2025,0,1,0,0,2,3,0,1,0,D,E,F,E,R,1,1.58e-06,9,uncommon,3,2,0,0
Sep 19 2025,1553,LATER,Friday,September,19,2025,0,0,0,0,2,3,0,1,1,L,A,T,E,R,0,0.000309,5,common,3,2,0,0
Sep 18 2025,1552,KNIFE,Thursday,September,18,2025,0,0,0,1,2,3,0,0,1,K,N,I,F,E,0,2.57e-05,12,uncommon,2,2,1,0
Sep 17 2025,1551,TEETH,Wednesday,September,17,2025,0,1,0,0,2,3,0,1,0,T,E,E,T,H,0,3.8e-05,8,uncommon,4,1,0,0
Sep 16 2025,1550,LEFTY,Tuesday,September,16,2025,1,0,0,0,1,4,0,0,1,L,E,F,T,Y,0,1.78e-06,11,uncommon,3,2,0,0
Sep 15 2025,1549,ALONG,Monday,September,15,2025,0,0,1,0,2,3,0,0,1,A,L,O,N,G,0,0.00024,6,common,1,3,1,0
Sep 14 2025,1548,NOISY,Sunday,September,14,2025,1,0,0,0,2,3,0,0,1,N,O,I,S,Y,0,4.68e-06,8,uncommon,3,1,1,0
Sep 13 2025,1547,NADIR,Saturday,September,13,2025,0,0,0,0,2,3,0,0,1,N,A,D,I,R,0,7.24e-07,6,rare,2,2,1,0
Sep 12 2025,1546,THROB,Friday,September,12,2025,0,0,0,0,1,4,0,0,1,T,H,R,O,B,0,4.79e-07,10,rare,3,1,1,0
Sep 11 2025,1545,CHAIR,Thursday,September,11,2025,0,0,0,0,2,3,0,0,1,C,H,A,I,R,0,4.9e-05,10,uncommon,2,2,1,0
Sep 10 2025,1544,POUTY,Wednesday,September,10,2025,1,0,0,0,2,3,0,0,1,P,O,U,T,Y,0,2.4e-07,10,rare,5,0,0,0
Sep 09 2025,1543,TRICK,Tuesday,September,09,2025,0,0,0,0,1,4,0,0,1,T,R,I,C,K,0,3.02e-05,11,uncommon,3,1,1,0
Sep 08 2025,1542,CHIRP,Monday,September,08,2025,0,0,0,0,1,4,0,0,1,C,H,I,R,P,0,6.17e-07,12,rare,3,1,1,0
Sep 07 2025,1541,TENOR,Sunday,September,07,2025,0,0,0,0,2,3,0,0,1,T,E,N,O,R,0,2.51e-06,5,uncommon,4,0,1,0
Sep 06 2025,1540,BULGE,Saturday,September,06,2025,0,0,0,1,2,3,0,0,1,B,U,L,G,E,0,1.74e-06,8,uncommon,2,2,1,0
Sep 05 2025,1539,DRIFT,Friday,September,05,2025,0,0,0,0,1,4,0,0,1,D,R,I,F,T,0,6.61e-06,9,uncommon,3,2,0,0
Sep 04 2025,1538,BLEND,Thursday,September,04,2025,0,0,0,0,1,4,0,0,1,B,L,E,N,D,0,8.91e-06,8,uncommon,1,2,2,0
Sep 03 2025,1537,FETCH,Wednesday,September,03,2025,0,0,0,0,1,4,0,1,1,F,E,T,C,H,0,4.47e-06,13,uncommon,2,2,1,0
Sep 02 2025,1536,MIGHT,Tuesday,September,02,2025,0,0,0,0,1,4,0,0,1,M,I,G,H,T,0,0.000457,11,common,2,2,1,0
Sep 01 2025,1535,LEAST,Monday,September,01,2025,0,0,0,0,2,3,0,1,1,L,E,A,S,T,0,0.000275,5,common,2,3,0,0
Aug 31 2025,1534,PETAL,Sunday,August,31,2025,0,0,0,0,2,3,0,0,1,P,E,T,A,L,0,1.1e-06,7,uncommon,3,2,0,0
Aug 30 2025,1533,ELATE,Saturday,August,30,2025,0,1,1,1,3,2,0,0,0,E,L,A,T,E,0,2.14e-08,5,rare,3,2,0,0
Aug 29 2025,1532,GRAFT,Friday,August,29,2025,0,0,0,0,1,4,0,0,1,G,R,A,F,T,0,2.95e-06,9,uncommon,2,3,0,0
Aug 28 2025,1531,SPLIT,Thursday,August,28,2025,0,0,0,0,1,4,0,0,1,S,P,L,I,T,0,4.47e-05,7,uncommon,3,2,0,0
Aug 27 2025,1530,TOWER,Wednesday,August,27,2025,0,0,0,0,2,3,0,1,1,T,O,W,E,R,0,3.16e-05,8,uncommon,5,0,0,0
Aug 26 2025,1529,ANNEX,Tuesday,August,26,2025,0,1,1,0,2,3,1,0,0,A,N,N,E,X,0,3.16e-06,12,uncommon,1,1,3,0
Aug 25 2025,1528,MIRTH,Monday,August,25,2025,0,0,0,0,1,4,0,1,1,M,I,R,T,H,0,4.17e-07,10,rare,3,1,1,0
Aug 24 2025,1527,SPORE,Sunday,August,24,2025,0,0,0,1,2,3,0,0,1,S,P,O,R,E,0,1e-06,7,rare,4,1,0,0
Aug 23 2025,1526,UNION,Saturday,August,23,2025,0,1,1,0,3,2,0,0,0,U,N,I,O,N,1,0.00012,5,common,3,0,2,0
Aug 22 2025,1525,RATTY,Friday,August,22,2025,1,1,0,0,1,4,0,0,0,R,A,T,T,Y,0,2.95e-07,8,rare,4,1,0,0
Aug 21 2025,1524,EXTOL,Thursday,August,21,2025,0,0,1,0,2,3,1,0,1,E,X,T,O,L,1,2e-07,12,rare,3,1,1,0
Aug 20 2025,1523,LLAMA,Wednesday,August,20,2025,0,1,0,1,2,3,0,0,0,L,L,A,M,A,0,8.91e-07,7,rare,0,4,1,0
Aug 19 2025,1522,ROWDY,Tuesday,August,19,2025,1,0,0,0,1,4,0,0,1,R,O,W,D,Y,0,1.62e-06,12,uncommon,4,1,0,0
Aug 18 2025,1521,ISSUE,Monday,August,18,2025,0,1,1,1,3,2,0,0,0,I,S,S,U,E,0,0.00017,5,common,3,2,0,0
Aug 17 2025,1520,LOUSY,Sunday,August,17,2025,1,0,0,0,2,3,0,0,1,L,O,U,S,Y,0,2.04e-06,8,uncommon,3,2,0,0
Aug 16 2025,1519,MATTE,Saturday,August,16,2025,0,1,0,1,2,3,0,0,0,M,A,T,T,E,0,3.31e-06,7,uncommon,3,1,1,0
Aug 15 2025,1518,LEVEL,Friday,August,15,2025,0,1,0,0,2,3,0,0,0,L,E,V,E,L,0,0.000257,8,common,2,2,1,1
Aug 14 2025,1517,KNELL,Thursday,August,14,2025,0,1,0,0,1,4,0,0,0,K,N,E,L,L,0,3.89e-07,9,rare,1,3,1,0
Aug 13 2025,1516,KEFIR,Wednesday,August,13,2025,0,0,0,0,2,3,0,0,1,K,E,F,I,R,0,1.35e-07,12,rare,3,2,0,0
Aug 12 2025,1515,NOMAD,Tuesday,August,12,2025,0,0,0,0,2,3,0,0,1,N,O,M,A,D,0,1.17e-06,8,uncommon,1,2,2,0
Aug 11 2025,1514,SOUTH,Monday,August,11,2025,0,0,0,0,2,3,0,1,1,S,O,U,T,H,0,0.000251,8,common,3,2,0,0
Aug 10 2025,1513,MINTY,Sunday,August,10,2025,1,0,0,0,1,4,0,0,1,M,I,N,T,Y,0,4.9e-07,10,rare,3,0,2,0
Aug 09 2025,1512,NASAL,Saturday,August,09,2025,0,1,0,0,2,3,0,0,0,N,A,S,A,L,0,3.09e-06,5,uncommon,0,4,1,0
Aug 08 2025,1511,IMBUE,Friday,August,08,2025,0,0,1,1,3,2,0,0,1,I,M,B,U,E,1,2.63e-07,9,rare,3,0,2,0
Aug 07 2025,1510,CORAL,Thursday,August,07,2025,0,0,0,0,2,3,0,0,1,C,O,R,A,L,0,7.24e-06,7,uncommon,2,2,1,0
Aug 06 2025,1509,GROAN,Wednesday,August,06,2025,0,0,0,0,2,3,0,0,1,G,R,O,A,N,0,1.32e-06,6,uncommon,2,2,1,0
Aug 05 2025,1508,STORK,Tuesday,August,05,2025,0,0,0,0,1,4,0,0,1,S,T,O,R,K,0,7.59e-07,9,rare,3,2,0,0
Aug 04 2025,1507,RIGID,Monday,August,04,2025,0,1,0,0,2,3,0,0,0,R,I,G,I,D,0,5.62e-06,7,uncommon,3,2,0,0
Aug 03 2025,1506,LUMPY,Sunday,August,03,2025,1,0,0,0,1,4,0,0,1,L,U,M,P,Y,0,6.92e-07,12,rare,3,1,1,0
Aug 02 2025,1505,DAUNT,Saturday,August,02,2025,0,0,0,0,2,3,0,1,1,D,A,U,N,T,0,1.1e-07,6,rare,2,2,1,0
Aug 01 2025,1504,BANJO,Friday,August,01,2025,0,0,0,1,2,3,1,0,1,B,A,N,J,O,0,1.86e-06,14,uncommon,1,2,2,0
Jul 31 2025,1503,FRILL,Thursday,July,31,2025,0,1,0,0,1,4,0,0,0,F,R,I,L,L,0,2.04e-07,8,rare,2,3,0,0
Jul 30 2025,1502,ASSAY,Wednesday,July,30,2025,1,1,1,0,2,3,0,0,0,A,S,S,A,Y,0,1.91e-06,8,uncommon,1,4,0,0
Jul 29 2025,1501,OMEGA,Tuesday,July,29,2025,0,0,1,1,3,2,0,0,1,O,M,E,G,A,0,6.03e-06,8,uncommon,2,2,1,0
Jul 28 2025,1500,SAVVY,Monday,July,28,2025,1,1,0,0,1,4,0,0,0,S,A,V,V,Y,0,3.63e-06,14,uncommon,1,2,2,0
Jul 27 2025,1499,WHOLE,Sunday,July,27,2025,0,0,0,1,2,3,0,0,1,W,H,O,L,E,0,0.000288,11,common,3,2,0,0
Jul 26 2025,1498,HAUNT,Saturday,July,26,2025,0,0,0,0,2,3,0,1,1,H,A,U,N,T,0,3.47e-06,8,uncommon,2,2,1,0
Jul 25 2025,1497,GOFER,Friday,July,25,2025,0,0,0,0,2,3,0,1,1,G,O,F,E,R,0,4.9e-08,9,rare,3,2,0,0
Jul 24 2025,1496,QUAKE,Thursday,July,24,2025,0,0,0,1,3,2,1,0,1,Q,U,A,K,E,0,2.82e-06,18,uncommon,3,2,0,0
Jul 23 2025,1495,WATER,Wednesday,July,23,2025,0,0,0,0,2,3,0,1,1,W,A,T,E,R,0,0.000331,8,common,4,1,0,0
Jul 22 2025,1494,BURNT,Tuesday,July,22,2025,0,0,0,0,1,4,0,1,1,B,U,R,N,T,0,1.07e-05,7,uncommon,3,0,2,0
Jul 21 2025,1493,TIZZY,Monday,July,21,2025,1,1,0,0,1,4,1,0,0,T,I,Z,Z,Y,0,1.86e-07,26,rare,3,0,2,0
Jul 20 2025,1492,BLANK,Sunday,July,20,2025,0,0,0,0,1,4,0,0,1,B,L,A,N,K,0,1.38e-05,11,uncommon,0,3,2,0
Jul 19 2025,1491,SWORD,Saturday,July,19,2025,0,0,0,0,1,4,0,0,1,S,W,O,R,D,0,2.34e-05,9,uncommon,3,2,0,0
Jul 18 2025,1490,LORIS,Friday,July,18,2025,0,0,0,0,2,3,0,0,1,L,O,R,I,S,0,2.14e-07,5,rare,3,2,0,0
Jul 17 2025,1489,MODAL,Thursday,July,17,2025,0,0,0,0,2,3,0,0,1,M,O,D,A,L,0,1.35e-06,8,uncommon,1,3,1,0
Jul 16 2025,1488,NERVY,Wednesday,July,16,2025,1,0,0,0,1,4,0,0,1,N,E,R,V,Y,0,1.78e-07,11,rare,3,0,2,0
Jul 15 2025,1487,FOIST,Tuesday,July,15,2025,0,0,0,0,2,3,0,1,1,F,O,I,S,T,0,1.38e-07,8,rare,3,2,0,0
Jul 14 2025,1486,UNDID,Monday,July,14,2025,0,1,1,0,2,3,0,0,0,U,N,D,I,D,1,3.39e-07,7,rare,2,2,1,0
Jul 13 2025,1485,GNOME,Sunday,July,13,2025,0,0,0,1,2,3,0,0,1,G,N,O,M,E,0,1.58e-06,8,uncommon,2,1,2,0
Jul 12 2025,1484,EXILE,Saturday,July,12,2025,0,1,1,1,3,2,1,0,0,E,X,I,L,E,1,6.92e-06,12,uncommon,3,1,1,0
Jul 11 2025,1483,BRAND,Friday,July,11,2025,0,0,0,0,1,4,0,0,1,B,R,A,N,D,0,6.76e-05,8,uncommon,1,2,2,0
Jul 10 2025,1482,JUMPY,Thursday,July,10,2025,1,0,0,0,1,4,1,0,1,J,U,M,P,Y,0,4.68e-07,19,rare,3,1,1,0
Jul 09 2025,1481,NOVEL,Wednesday,July,09,2025,0,0,0,0,2,3,0,0,1,N,O,V,E,L,0,4.27e-05,8,uncommon,2,1,2,0
Jul 08 2025,1480,DREAD,Tuesday,July,08,2025,0,1,0,0,2,3,0,0,0,D,R,E,A,D,0,4.37e-06,7,uncommon,2,3,0,0
Jul 07 2025,1479,STILT,Monday,July,07,2025,0,1,0,0,1,4,0,0,0,S,T,I,L,T,0,2.34e-07,5,rare,3,2,0,0
Jul 06 2025,1478,ATRIA,Sunday,July,06,2025,0,1,1,1,3,2,0,0,0,A,T,R,I,A,0,2.4e-07,5,rare,3,2,0,0
Jul 05 2025,1477,BALER,Saturday,July,05,2025,0,0,0,0,2,3,0,1,1,B,A,L,E,R,0,1.82e-07,7,rare,2,2,1,0
Jul 04 2025,1476,CURVE,Friday,July,04,2025,0,0,0,1,2,3,0,0,1,C,U,R,V,E,0,1.38e-05,10,uncommon,3,0,2,0
Jul 03 2025,1475,POPPY,Thursday,July,03,2025,1,1,0,0,1,4,0,0,0,P,O,P,P,Y,0,3.89e-06,14,uncommon,5,0,0,0
Jul 02 2025,1474,INCUR,Wednesday,July,02,2025,0,0,1,0,2,3,0,0,1,I,N,C,U,R,1,2e-06,7,uncommon,3,0,2,0
Jul 01 2025,1473,MOLDY,Tuesday,July,01,2025,1,0,0,0,1,4,0,0,1,M,O,L,D,Y,0,4.9e-07,11,rare,2,2,1,0
Jun 30 2025,1472,BLINK,Monday,June,30,2025,0,0,0,0,1,4,0,0,1,B,L,I,N,K,0,5.37e-06,11,uncommon,1,2,2,0
Jun 29 2025,1471,WITTY,Sunday,June,29,2025,1,1,0,0,1,4,0,0,0,W,I,T,T,Y,0,3.63e-06,11,uncommon,5,0,0,0
Jun 28 2025,1470,STUMP,Saturday,June,28,2025,0,0,0,0,1,4,0,0,1,S,T,U,M,P,0,2.82e-06,9,uncommon,3,1,1,0
Jun 27 2025,1469,PLAIN,Friday,June,27,2025,0,0,0,0,2,3,0,0,1,P,L,A,I,N,0,2.69e-05,7,uncommon,2,2,1,0
Jun 26 2025,1468,OFFER,Thursday,June,26,2025,0,1,1,0,2,3,0,1,0,O,F,F,E,R,0,0.000112,11,common,3,2,0,0
Jun 25 2025,1467,COMFY,Wednesday,June,25,2025,1,0,0,0,1,4,0,0,1,C,O,M,F,Y,0,4.27e-06,15,uncommon,2,1,2,0
Jun 24 2025,1466,ELITE,Tuesday,June,24,2025,0,1,1,1,3,2,0,0,0,E,L,I,T,E,0,2.51e-05,5,uncommon,4,1,0,0
Jun 23 2025,1465,ODDLY,Monday,June,23,2025,1,1,1,0,1,4,0,1,0,O,D,D,L,Y,0,3.63e-06,10,uncommon,2,3,0,0
Jun 22 2025,1464,THRUM,Sunday,June,22,2025,0,0,0,0,1,4,0,0,1,T,H,R,U,M,0,9.33e-08,10,rare,3,1,1,0
Jun 21 2025,1463,GLADE,Saturday,June,21,2025,0,0,0,1,2,3,0,0,1,G,L,A,D,E,0,6.03e-07,7,rare,1,4,0,0
Jun 20 2025,1462,TAUPE,Friday,June,20,2025,0,0,0,1,3,2,0,0,1,T,A,U,P,E,0,3.47e-07,7,rare,4,1,0,0
Jun 19 2025,1461,CURIO,Thursday,June,19,2025,0,0,0,1,3,2,0,0,1,C,U,R,I,O,0,2.69e-07,7,rare,4,0,1,0
Jun 18 2025,1460,MUNCH,Wednesday,June,18,2025,0,0,0,0,1,4,0,1,1,M,U,N,C,H,0,1.2e-06,12,uncommon,1,1,3,0
Jun 17 2025,1459,PRANK,Tuesday,June,17,2025,0,0,0,0,1,4,0,0,1,P,R,A,N,K,0,5.01e-06,11,uncommon,2,2,1,0
Jun 16 2025,1458,PETTY,Monday,June,16,2025,1,1,0,0,1,4,0,0,0,P,E,T,T,Y,0,1.17e-05,10,uncommon,5,0,0,0
Jun 15 2025,1457,QUAIL,Sunday,June,15,2025,0,0,0,0,3,2,1,0,1,Q,U,A,I,L,0,1.35e-06,14,uncommon,3,2,0,0
Jun 14 2025,1456,GHOST,Saturday,June,14,2025,0,0,0,0,1,4,0,1,1,G,H,O,S,T,0,2.63e-05,9,uncommon,2,3,0,0
Jun 13 2025,1455,BILGE,Friday,June,13,2025,0,0,0,1,2,3,0,0,1,B,I,L,G,E,0,4.68e-07,8,rare,2,2,1,0
Jun 12 2025,1454,VIXEN,Thursday,June,12,2025,0,0,0,0,2,3,1,0,1,V,I,X,E,N,0,8.71e-07,15,rare,2,0,3,0
Jun 11 2025,1453,PLAID,Wednesday,June,11,2025,0,0,0,0,2,3,0,0,1,P,L,A,I,D,0,2.14e-06,8,uncommon,2,3,0,0
Jun 10 2025,1452,TAFFY,Tuesday,June,10,2025,1,1,0,0,1,4,0,0,0,T,A,F,F,Y,0,5.13e-07,14,rare,2,3,0,0
Jun 09 2025,1451,BOARD,Monday,June,09,2025,0,0,0,0,2,3,0,0,1,B,O,A,R,D,0,0.000174,8,common,2,2,1,0
Jun 08 2025,1450,LEASE,Sunday,June,08,2025,0,1,0,1,3,2,0,0,0,L,E,A,S,E,0,1.48e-05,5,uncommon,2,3,0,0
Jun 07 2025,1449,REUSE,Saturday,June,07,2025,0,1,0,1,3,2,0,0,0,R,E,U,S,E,1,2.34e-06,5,uncommon,4,1,0,0
Jun 06 2025,1448,EDIFY,Friday,June,06,2025,1,0,1,0,2,3,0,0,1,E,D,I,F,Y,0,9.12e-08,12,rare,3,2,0,0
Jun 05 2025,1447,DATUM,Thursday,June,05,2025,0,0,0,0,2,3,0,0,1,D,A,T,U,M,0,3.31e-07,8,rare,2,2,1,0
Jun 04 2025,1446,CEASE,Wednesday,June,04,2025,0,1,0,1,3,2,0,0,0,C,E,A,S,E,0,1.07e-05,7,uncommon,2,2,1,0
Jun 03 2025,1445,ADMIN,Tuesday,June,03,2025,0,0,1,0,2,3,0,0,1,A,D,M,I,N,0,8.32e-06,8,uncommon,1,2,2,0
Jun 02 2025,1444,PREEN,Monday,June,02,2025,0,1,0,0,2,3,0,0,0,P,R,E,E,N,0,1.45e-07,7,rare,4,0,1,0
Jun 01 2025,1443,ROUGH,Sunday,June,01,2025,0,0,0,0,2,3,0,0,1,R,O,U,G,H,0,3.09e-05,9,uncommon,3,2,0,0
May 31 2025,1442,HABIT,Saturday,May,31,2025,0,0,0,0,2,3,0,0,1,H,A,B,I,T,0,1.74e-05,10,uncommon,2,2,1,0
May 30 2025,1441,IDIOM,Friday,May,30,2025,0,1,1,0,3,2,0,0,0,I,D,I,O,M,0,9.33e-07,8,rare,3,1,1,0
May 29 2025,1440,QUASH,Thursday,May,29,2025,0,0,0,0,2,3,1,1,1,Q,U,A,S,H,0,5.62e-07,17,rare,2,3,0,0
May 28 2025,1439,POLAR,Wednesday,May,28,2025,0,0,0,0,2,3,0,0,1,P,O,L,A,R,0,9.12e-06,7,uncommon,3,2,0,0
May 27 2025,1438,SPORT,Tuesday,May,27,2025,0,0,0,0,1,4,0,0,1,S,P,O,R,T,0,5.37e-05,7,uncommon,4,1,0,0
May 26 2025,1437,DRONE,Monday,May,26,2025,0,0,0,1,2,3,0,0,1,D,R,O,N,E,0,1e-05,6,uncommon,3,1,1,0
May 25 2025,1436,GRIFT,Sunday,May,25,2025,0,0,0,0,1,4,0,0,1,G,R,I,F,T,0,1.91e-07,9,rare,3,2,0,0
May 24 2025,1435,SUEDE,Saturday,May,24,2025,0,1,0,1,3,2,0,0,0,S,U,E,D,E,0,1.78e-06,6,uncommon,3,2,0,0
